symbol,trade_ts,price,trade_conditions,type,volume,price_anomaly,volume_anomaly
BINANCE:BTCUSDT,2024-12-06 20:15:19.022+0000,101655.99,,trade,0.0002,0.0,0.0
BINANCE:BTCUSDT,2024-12-06 20:15:19.454+0000,101655.99,,trade,0.00494,0.0,0.0
BINANCE:BTCUSDT,2024-12-06 20:15:19.501+0000,101655.99,,trade,0.00245,0.0,0.0
BINANCE:BTCUSDT,2024-12-06 20:15:19.919+0000,101660.85,,trade,0.01967,0.0,0.0
BINANCE:BTCUSDT,2024-12-06 20:15:19.921+0000,101662.23,,trade,6e-05,0.0,0.0
BINANCE:BTCUSDT,2024-12-06 20:15:19.923+0000,101664.0,,trade,0.00216,0.0,0.0
BINANCE:BTCUSDT,2024-12-06 20:15:19.924+0000,101664.0,,trade,0.00131,0.0,1.0
BINANCE:BTCUSDT,2024-12-06 20:15:19.930+0000,101664.0,,trade,0.0002,0.0,0.0
BINANCE:BTCUSDT,2024-12-06 20:15:19.954+0000,101665.39,,trade,0.0628,0.0,0.0
BINANCE:BTCUSDT,2024-12-06 20:15:19.956+0000,101664.87,,trade,0.03582,1.0,1.0
BINANCE:BTCUSDT,2024-12-06 20:15:20.179+0000,101666.16,,trade,0.00096,0.0,0.0
BINANCE:BTCUSDT,2024-12-06 20:15:20.680+0000,101666.15,,trade,0.00522,0.0,0.0
BINANCE:BTCUSDT,2024-12-06 20:15:20.849+0000,101666.16,,trade,0.0001,0.0,0.0
BINANCE:BTCUSDT,2024-12-06 20:15:20.850+0000,101666.16,,trade,0.0026,0.0,0.0
BINANCE:BTCUSDT,2024-12-06 20:15:21.163+0000,101666.15,,trade,0.00173,0.0,1.0
BINANCE:BTCUSDT,2024-12-06 20:15:21.322+0000,101666.16,,trade,0.00291,0.0,1.0
BINANCE:BTCUSDT,2024-12-06 20:15:21.358+0000,101666.15,,trade,0.00035,0.0,0.0
BINANCE:BTCUSDT,2024-12-06 20:15:21.688+0000,101666.16,,trade,0.0001,0.0,0.0
BINANCE:BTCUSDT,2024-12-06 20:15:21.725+0000,101666.16,,trade,0.00022,0.0,0.0
