uuid,ingestion_ts,price,symbol,threshold,trade_ts,volume,window_size
cecc65db-2be1-40f7-8a8d-e76388798fb1,2024-12-14 22:13:30.001+0000,101011.720000000001,BINANCE:BTCUSDT,3,2024-12-14 22:13:24.935+0000,0.0001,7
e6a1579b-770c-4e69-8285-44a235a4d3f4,2024-12-14 22:36:35.003+0000,101161.660000000003,BINANCE:BTCUSDT,3,2024-12-14 22:36:31.945+0000,5e-05,7
b06f0771-af98-47d7-9898-f2c73d25821e,2024-12-14 22:50:30.001+0000,101168,BINANCE:BTCUSDT,3,2024-12-14 22:50:28.601+0000,5e-05,7
a2adf767-83e9-4688-a9a7-2cda394b6d77,2024-12-14 22:08:25.001+0000,101101.050000000003,BINANCE:BTCUSDT,3,2024-12-14 22:08:19.392+0000,6e-05,7
d3169c4f-0db6-4224-9da1-507680387fc8,2024-12-14 22:15:40.002+0000,100915.990000000005,BINANCE:BTCUSDT,3,2024-12-14 22:15:38.749+0000,8e-05,7
332bc9a8-a5f3-4ebf-9b1f-78ca863880f5,2024-12-14 22:17:15.002+0000,100984.660000000003,BINANCE:BTCUSDT,3,2024-12-14 22:17:11.853+0000,0.00167,7
fa55db32-ae83-4f1c-85a1-d28f206de86c,2024-12-14 22:10:20.001+0000,101040.789999999994,BINANCE:BTCUSDT,3,2024-12-14 22:10:17.632+0000,3e-05,7
2caf23b3-6c3a-4a95-a4a8-31799097575c,2024-12-14 22:14:30.001+0000,100906.860000000001,BINANCE:BTCUSDT,3,2024-12-14 22:14:26.947+0000,0.17688,7
8f858532-b036-4f9f-9555-8cefbf26cee2,2024-12-14 22:10:20.001+0000,101040.800000000003,BINANCE:BTCUSDT,3,2024-12-14 22:10:17.518+0000,6e-05,7
985bdefd-7a3a-4c98-bfb7-06ba3162ec83,2024-12-14 22:13:55.004+0000,100937.800000000003,BINANCE:BTCUSDT,3,2024-12-14 22:13:51.445+0000,0.19705,7
76f937cc-e4d2-4f1e-adeb-b1ba51de82ce,2024-12-14 22:36:40.002+0000,101166.660000000003,BINANCE:BTCUSDT,3,2024-12-14 22:36:35.024+0000,5e-05,7
5284ae77-0a43-45f8-bf8a-73e6569e01e9,2024-12-14 22:16:15.001+0000,100938.660000000003,BINANCE:BTCUSDT,3,2024-12-14 22:16:10.294+0000,0.0002,7
7c3b72e0-fb7d-4138-af34-9465f11ef095,2024-12-14 22:08:25.001+0000,101102.050000000003,BINANCE:BTCUSDT,3,2024-12-14 22:08:19.392+0000,0.0001,7
5f3bdf7c-2dcc-4e9f-be42-6956811a9252,2024-12-14 22:36:00.001+0000,101111.110000000001,BINANCE:BTCUSDT,3,2024-12-14 22:35:56.069+0000,5e-05,7
1f427c01-8617-49da-b3c4-15865d5c02ae,2024-12-14 22:03:15.003+0000,101124.020000000004,BINANCE:BTCUSDT,3,2024-12-14 22:03:12.699+0000,2e-05,7
a6a62930-d6a6-4231-869a-87d772674eec,2024-12-14 22:17:15.002+0000,100984.669999999998,BINANCE:BTCUSDT,3,2024-12-14 22:17:10.858+0000,0.00021,7
7056f467-1a6c-4b26-8e01-3d4c8e6e4418,2024-12-14 22:09:30.002+0000,101090.229999999996,BINANCE:BTCUSDT,3,2024-12-14 22:09:28.185+0000,9e-05,7
7902c99a-2d5e-4108-b054-8062ecaf78b0,2024-12-14 22:13:30.001+0000,101011.869999999995,BINANCE:BTCUSDT,3,2024-12-14 22:13:24.935+0000,6e-05,7
b94c8af6-0c69-4941-a9b6-9750b20b6fd1,2024-12-14 22:22:15.001+0000,100976,BINANCE:BTCUSDT,3,2024-12-14 22:22:11.039+0000,0.0024,7
91f4f74f-0f4c-40e8-b21e-f6a7b1556b80,2024-12-14 22:09:30.002+0000,101091.240000000005,BINANCE:BTCUSDT,3,2024-12-14 22:09:25.591+0000,0.00982,7
c6632dbb-9a7e-417b-a2b0-006a9d89c339,2024-12-14 22:44:30.001+0000,101231.279999999999,BINANCE:BTCUSDT,3,2024-12-14 22:44:25.465+0000,4e-05,7
36e91a91-bcc1-4827-804d-be24d9ca00f7,2024-12-14 22:17:00.001+0000,101020.820000000007,BINANCE:BTCUSDT,3,2024-12-14 22:16:55.196+0000,0.00465,7
6caf16b3-7b11-42c0-905a-350d31deda4c,2024-12-14 22:22:10.001+0000,100969.330000000002,BINANCE:BTCUSDT,3,2024-12-14 22:22:08.944+0000,0.0099,7
1632fa2d-1b93-4bfa-bdb6-1261802e5437,2024-12-14 22:36:00.001+0000,101111.110000000001,BINANCE:BTCUSDT,3,2024-12-14 22:35:56.069+0000,8e-05,7
7a7c30f0-c71c-4b75-aed6-9de05447378f,2024-12-14 22:20:05.001+0000,100949.240000000005,BINANCE:BTCUSDT,3,2024-12-14 22:20:03.596+0000,0.00043,7
9ab7049e-3c2e-4cf7-adaa-dca848eddd78,2024-12-14 22:37:25.001+0000,101114.369999999995,BINANCE:BTCUSDT,3,2024-12-14 22:37:23.138+0000,0.0006,7
